CustomerId,Recency,Frequency,Monetary,cluster,is_high_risk
CustomerId_1256,33,6.0,31000.0,2,1
CustomerId_1257,60,10.0,10000.0,2,1
CustomerId_1259,69,16.0,17500.0,2,1
CustomerId_1262,26,9.0,10100.0,2,1
CustomerId_1263,54,5.0,25000.0,2,1
CustomerId_1265,22,97.0,264700.0,0,0
CustomerId_1266,16,20.0,9795.0,2,1
CustomerId_1267,25,3.0,1000.0,2,1
CustomerId_1268,16,1.0,1000000.0,2,1
CustomerId_1269,75,3.0,5000.0,2,1
CustomerId_1270,31,18.0,20500.0,2,1
CustomerId_1271,18,6.0,5600.0,2,1
CustomerId_1272,54,3.0,4500.0,2,1
CustomerId_1273,68,6.0,30000.0,2,1
CustomerId_1274,43,1.0,5000.0,2,1
CustomerId_1275,16,84.0,146900.0,0,0
CustomerId_1276,54,83.0,749500.0,0,0
CustomerId_1277,18,32.0,72000.0,2,1
CustomerId_1279,54,7.0,40000.0,2,1
CustomerId_1280,21,44.0,109500.0,0,0
CustomerId_1281,68,24.0,175900.0,2,1
CustomerId_1283,75,19.0,18000.0,2,1
CustomerId_1285,76,4.0,3000.0,2,1
CustomerId_1286,17,28.0,76060.0,2,1
CustomerId_1287,61,7.0,40000.0,2,1
CustomerId_1288,19,6.0,4500.0,2,1
CustomerId_1294,59,11.0,50900.0,2,1
CustomerId_1295,61,15.0,98000.0,2,1
CustomerId_1296,52,3.0,500.0,2,1
CustomerId_1297,65,1.0,5000.0,2,1
CustomerId_1298,29,20.0,419000.0,2,1
CustomerId_1299,29,36.0,229000.0,0,0
CustomerId_13,84,1.0,0.0,2,1
CustomerId_1300,19,6.0,26000.0,2,1
CustomerId_1301,33,14.0,86000.0,2,1
CustomerId_1302,25,18.0,2002604.0000000005,2,1
CustomerId_1303,19,13.0,76000.0,2,1
CustomerId_1304,20,3.0,150000.0,2,1
CustomerId_1306,65,61.0,63800.0,0,0
CustomerId_1307,26,17.0,255000.0,2,1
CustomerId_1308,34,15.0,149558.0,2,1
CustomerId_1311,21,33.0,42585.0,2,1
CustomerId_1312,19,1.0,1000.0,2,1
CustomerId_1313,47,6.0,30000.0,2,1
CustomerId_1316,35,1.0,20000.0,2,1
CustomerId_1317,19,5.0,25000.0,2,1
CustomerId_1318,64,7.0,6026.0,2,1
CustomerId_1320,79,2.0,10000.0,2,1
CustomerId_1321,63,2.0,60000.0,2,1
CustomerId_1322,62,6.0,4000.0,2,1
CustomerId_1323,19,11.0,51000.0,2,1
CustomerId_1324,18,29.0,601000.0,2,1
CustomerId_1325,49,5.0,41500.0,2,1
CustomerId_1326,47,3.0,13000.0,2,1
CustomerId_1328,22,1.0,1000.0,2,1
CustomerId_1329,16,2.0,12000.0,2,1
CustomerId_1331,19,12.0,77000.0,2,1
CustomerId_1332,83,2.0,3000.0,2,1
CustomerId_1335,20,103.0,220990.0,0,0
CustomerId_1338,77,2.0,22000.0,2,1
CustomerId_1339,47,5.0,25000.0,2,1
CustomerId_1341,60,11.0,22000.0,2,1
CustomerId_1343,51,1.0,1000.0,2,1
CustomerId_1349,53,7.0,8000.0,2,1
CustomerId_1351,80,15.0,97000.0,2,1
CustomerId_1353,22,1.0,2000000.0,2,1
CustomerId_1355,58,5.0,10000.0,2,1
CustomerId_1356,89,1.0,5000.0,2,1
CustomerId_1357,27,1.0,100.0,2,1
CustomerId_1359,19,5.0,26000.0,2,1
CustomerId_1360,66,1.0,10000.0,2,1
CustomerId_1361,82,9.0,11000.0,2,1
CustomerId_1362,18,6.0,31000.0,2,1
CustomerId_1363,54,1.0,5000.0,2,1
CustomerId_1365,32,4.0,20000.0,2,1
CustomerId_1366,22,5.0,2000.0,2,1
CustomerId_1369,68,6.0,30000.0,2,1
CustomerId_1370,65,7.0,113000.0,2,1
CustomerId_1372,19,1.0,500.0,2,1
CustomerId_1373,39,1.0,10000.0,2,1
CustomerId_1376,39,2.0,220000.0,2,1
CustomerId_1377,23,3.0,1000.0,2,1
CustomerId_1378,18,6.0,31000.0,2,1
CustomerId_1379,85,1.0,1000.0,2,1
CustomerId_1380,18,12.0,71000.0,2,1
CustomerId_1381,62,1.0,5000.0,2,1
CustomerId_1384,24,3.0,7000.0,2,1
CustomerId_1385,18,1.0,50000.0,2,1
CustomerId_1386,82,1.0,1000.0,2,1
CustomerId_1387,16,19.0,12100.0,2,1
CustomerId_1389,56,1.0,100000.0,2,1
CustomerId_1390,22,1.0,500.0,2,1
CustomerId_1392,50,5.0,11600.0,2,1
CustomerId_1393,65,2.0,5200.0,2,1
CustomerId_1394,71,1.0,10000.0,2,1
CustomerId_1396,68,7.0,35200.0,2,1
CustomerId_1398,38,41.0,217500.0,0,0
CustomerId_14,84,1.0,0.0,2,1
CustomerId_1400,49,1.0,500.0,2,1
CustomerId_1402,32,6.0,11000.0,2,1
CustomerId_1406,86,2.0,500.0,2,1
CustomerId_1407,19,9.0,51000.0,2,1
CustomerId_1408,49,1.0,1000.0,2,1
CustomerId_1409,51,23.0,31900.0,2,1
CustomerId_1411,34,6.0,7000.0,2,1
CustomerId_1413,17,106.0,395972.0,0,0
CustomerId_1415,27,42.0,21680.0,0,0
CustomerId_1417,35,2.0,7000.0,2,1
CustomerId_1418,24,1.0,3500.0,2,1
CustomerId_1419,26,9.0,40000.0,2,1
CustomerId_1420,61,10.0,13100.0,2,1
CustomerId_1421,18,8.0,28000.0,2,1
CustomerId_1422,89,3.0,14020.0,2,1
CustomerId_1423,84,14.0,8500.0,2,1
CustomerId_1424,19,5.0,26000.0,2,1
CustomerId_1426,83,1.0,10000.0,2,1
CustomerId_1427,54,30.0,171400.0,2,1
CustomerId_1429,18,34.0,196500.0,0,0
CustomerId_1431,64,1.0,5000.0,2,1
CustomerId_1432,90,1.0,2000.0,2,1
CustomerId_1435,19,25.0,111100.0,2,1
CustomerId_1436,54,4.0,15000.0,2,1
CustomerId_1437,38,1.0,20000.0,2,1
CustomerId_1438,16,21.0,99500.0,2,1
CustomerId_1439,54,1.0,500.0,2,1
CustomerId_1441,57,1.0,1000.0,2,1
CustomerId_1443,32,2.0,2000.0,2,1
CustomerId_1444,58,1.0,500.0,2,1
CustomerId_1445,29,1.0,500.0,2,1
CustomerId_1447,74,8.0,11000.0,2,1
CustomerId_1448,32,2.0,2000.0,2,1
CustomerId_1449,23,26.0,421600.0,2,1
CustomerId_1450,26,9.0,62000.0,2,1
CustomerId_1451,23,18.0,19700.0,2,1
CustomerId_1452,30,11.0,25000.0,2,1
CustomerId_1453,22,5.0,3000.0,2,1
CustomerId_1454,18,6.0,31000.0,2,1
CustomerId_1455,77,1.0,1000.0,2,1
CustomerId_1458,42,1.0,500.0,2,1
CustomerId_1459,46,1.0,10000.0,2,1
CustomerId_1461,19,42.0,67500.0,0,0
CustomerId_1466,19,7.0,44200.0,2,1
CustomerId_1468,20,15.0,403664.0,2,1
CustomerId_1472,26,52.0,170184.0,0,0
CustomerId_1474,72,1.0,10000.0,2,1
CustomerId_1475,81,8.0,17000.0,2,1
CustomerId_1476,76,8.0,15050.0,2,1
CustomerId_1477,66,22.0,65070.0,2,1
CustomerId_1479,19,6.0,26000.0,2,1
CustomerId_1480,19,20.0,101000.0,2,1
CustomerId_1481,60,13.0,25000.0,2,1
CustomerId_1482,59,10.0,30000.0,2,1
CustomerId_1483,44,9.0,11055.0,2,1
CustomerId_1484,28,5.0,2000.0,2,1
CustomerId_1485,19,19.0,101000.0,2,1
CustomerId_1486,33,6.0,31000.0,2,1
CustomerId_1487,66,8.0,6500.0,2,1
CustomerId_1488,33,5.0,26000.0,2,1
CustomerId_1489,51,6.0,90000.0,2,1
CustomerId_1490,59,3.0,30000.0,2,1
CustomerId_1492,81,3.0,3500.0,2,1
CustomerId_1495,82,5.0,11000.0,2,1
CustomerId_1496,77,1.0,50000.0,2,1
CustomerId_1499,75,8.0,40000.0,2,1
CustomerId_15,84,1.0,0.0,2,1
CustomerId_1502,53,1.0,5000.0,2,1
CustomerId_1503,20,74.0,309950.0,0,0
CustomerId_1505,21,115.0,229700.0,0,0
CustomerId_1506,47,1.0,5000.0,2,1
CustomerId_1508,19,17.0,76000.0,2,1
CustomerId_1509,54,11.0,50944.0,2,1
CustomerId_1510,58,93.0,220500.0,0,0
CustomerId_1511,25,4.0,5000.0,2,1
CustomerId_1512,46,1.0,10000.0,2,1
CustomerId_1513,47,6.0,30000.0,2,1
CustomerId_1514,76,9.0,5400.0,2,1
CustomerId_1515,16,49.0,65600.0,0,0
CustomerId_1516,33,7.0,27000.0,2,1
CustomerId_1517,21,11.0,30000.0,2,1
CustomerId_1518,47,4.0,15000.0,2,1
CustomerId_1520,19,16.0,94100.0,2,1
CustomerId_1521,87,1.0,1000.0,2,1
CustomerId_1523,18,14.0,280350.0,2,1
CustomerId_1525,72,1.0,1000.0,2,1
CustomerId_1526,33,1.0,500.0,2,1
CustomerId_1528,38,5.0,13000.0,2,1
CustomerId_1529,82,28.0,28600.0,2,1
CustomerId_1531,63,1.0,3000.0,2,1
CustomerId_1532,45,20.0,599475.0,2,1
CustomerId_1533,16,81.0,144900.0,0,0
CustomerId_1537,19,24.0,115271.0,2,1
CustomerId_1538,19,10.0,51000.0,2,1
CustomerId_1540,75,5.0,25000.0,2,1
CustomerId_1541,45,29.0,89400.0,2,1
CustomerId_1545,80,69.0,244800.0,0,0
CustomerId_1546,40,38.0,300700.0,0,0
CustomerId_1547,53,52.0,107600.0,0,0
CustomerId_1550,33,5.0,26000.0,2,1
CustomerId_1554,56,21.0,24500.0,2,1
CustomerId_1557,19,17.0,101000.0,2,1
CustomerId_1562,67,3.0,5000.0,2,1
CustomerId_1564,58,28.0,36760.0,2,1
CustomerId_1565,54,17.0,61000.0,2,1
CustomerId_1566,23,1.0,1000.0,2,1
CustomerId_1567,20,3.0,1000500.0,2,1
CustomerId_1568,26,15.0,24100.0,2,1
CustomerId_1569,35,1.0,5000.0,2,1
CustomerId_1570,54,9.0,35500.0,2,1
CustomerId_1571,39,1.0,10000.0,2,1
CustomerId_1572,19,9.0,51000.0,2,1
CustomerId_1573,68,6.0,30000.0,2,1
CustomerId_1576,37,91.0,268158.0,0,0
CustomerId_1577,87,3.0,5500.0,2,1
CustomerId_1578,68,12.0,100000.0,2,1
CustomerId_1579,18,11.0,61000.0,2,1
CustomerId_1580,42,6.0,6000.0,2,1
CustomerId_1581,26,13.0,31000.0,2,1
CustomerId_1583,36,9.0,9000.0,2,1
CustomerId_1584,17,52.0,230300.0,0,0
CustomerId_1587,85,15.0,19300.0,2,1
CustomerId_1588,30,33.0,133000.0,0,0
CustomerId_1591,19,9.0,46000.0,2,1
CustomerId_1593,18,6.0,31000.0,2,1
CustomerId_1594,19,73.0,327000.0,0,0
CustomerId_1595,75,4.0,2000.0,2,1
CustomerId_1597,77,1.0,50000.0,2,1
CustomerId_1599,34,3.0,1000.0,2,1
CustomerId_1601,59,3.0,600.0,2,1
CustomerId_1602,16,48.0,2002604.0000000005,0,0
CustomerId_1604,48,30.0,67200.0,2,1
CustomerId_1605,76,1.0,1800.0,2,1
CustomerId_1608,86,16.0,20500.0,2,1
CustomerId_1609,84,5.0,2000.0,2,1
CustomerId_1610,22,1.0,500.0,2,1
CustomerId_1611,47,5.0,25000.0,2,1
CustomerId_1613,19,14.0,76000.0,2,1
CustomerId_1614,39,5.0,2000.0,2,1
CustomerId_1618,18,6.0,51000.0,2,1
CustomerId_1619,89,1.0,5000.0,2,1
CustomerId_1620,26,5.0,26000.0,2,1
CustomerId_1621,26,1.0,1000.0,2,1
CustomerId_1622,17,110.0,366595.0,0,0
CustomerId_1624,54,18.0,100700.0,2,1
CustomerId_1625,54,21.0,111400.0,2,1
CustomerId_1626,24,13.0,7000.0,2,1
CustomerId_1629,48,1.0,500.0,2,1
CustomerId_1632,19,60.0,349400.0,0,0
CustomerId_1634,54,19.0,114600.0,2,1
CustomerId_1635,33,6.0,31000.0,2,1
CustomerId_1636,16,24.0,78800.0,2,1
CustomerId_1638,59,3.0,500.0,2,1
CustomerId_1639,25,14.0,18600.0,2,1
CustomerId_1640,42,8.0,4500.0,2,1
CustomerId_1641,54,6.0,30000.0,2,1
CustomerId_1642,44,10.0,30000.0,2,1
CustomerId_1643,47,5.0,25000.0,2,1
CustomerId_1646,39,2.0,500.0,2,1
CustomerId_1647,30,15.0,11200.0,2,1
CustomerId_1649,25,3.0,500.0,2,1
CustomerId_1652,45,1.0,5000.0,2,1
CustomerId_1653,24,6.0,1661500.0,2,1
CustomerId_1655,19,5.0,26000.0,2,1
CustomerId_1656,16,68.0,606000.0,0,0
CustomerId_1657,52,3.0,6000.0,2,1
CustomerId_1658,20,37.0,90600.0,0,0
CustomerId_1659,70,3.0,165000.0,2,1
CustomerId_1660,66,1.0,1000.0,2,1
CustomerId_1661,32,10.0,20200.0,2,1
CustomerId_1663,32,242.42000000000007,1651000.0,1,0
CustomerId_1664,85,1.0,1000.0,2,1
CustomerId_1666,33,1.0,50000.0,2,1
CustomerId_1669,30,3.0,500.0,2,1
CustomerId_1670,62,15.0,235135.0,2,1
CustomerId_1671,73,2.0,10000.0,2,1
CustomerId_1672,35,6.0,21250.0,2,1
CustomerId_1674,82,1.0,20000.0,2,1
CustomerId_1676,19,24.0,149000.0,2,1
CustomerId_1679,54,4.0,15000.0,2,1
CustomerId_1680,35,9.0,664000.0,2,1
CustomerId_1681,18,6.0,31000.0,2,1
CustomerId_1683,27,11.0,108500.0,2,1
CustomerId_1684,19,9.0,47000.0,2,1
CustomerId_1687,60,1.0,2000.0,2,1
CustomerId_1688,23,16.0,113100.0,2,1
CustomerId_1690,80,21.0,2002604.0000000005,2,1
CustomerId_1692,27,7.0,13000.0,2,1
CustomerId_1694,19,18.0,101000.0,2,1
CustomerId_1695,16,85.0,770000.0,0,0
CustomerId_1696,26,11.0,30300.0,2,1
CustomerId_1697,19,4.0,16000.0,2,1
CustomerId_1698,24,1.0,500000.0,2,1
CustomerId_1699,35,151.0,859356.0,1,0
CustomerId_1701,18,10.0,60000.0,2,1
CustomerId_1702,89,14.0,12500.0,2,1
CustomerId_1703,64,3.0,500.0,2,1
CustomerId_1707,26,7.0,13500.0,2,1
CustomerId_1709,18,242.42000000000007,800044.0,1,0
CustomerId_1710,22,5.0,4000.0,2,1
CustomerId_1712,39,1.0,1000.0,2,1
CustomerId_1713,21,47.0,44280.0,0,0
CustomerId_1714,61,7.0,40000.0,2,1
CustomerId_1716,62,1.0,80000.0,2,1
CustomerId_1717,18,6.0,31000.0,2,1
CustomerId_1720,47,6.0,30000.0,2,1
CustomerId_1721,47,6.0,30000.0,2,1
CustomerId_1722,21,1.0,1000.0,2,1
CustomerId_1723,86,1.0,800.0,2,1
CustomerId_1724,29,1.0,1000000.0,2,1
CustomerId_1725,84,20.0,26500.0,2,1
CustomerId_1726,56,6.0,8000.0,2,1
CustomerId_1728,39,3.0,5500.0,2,1
CustomerId_1729,33,8.0,46000.0,2,1
CustomerId_1730,26,63.0,170700.0,0,0
CustomerId_1731,55,23.0,354500.0,2,1
CustomerId_1732,53,18.0,186000.0,2,1
CustomerId_1733,19,30.0,181000.0,2,1
CustomerId_1735,18,3.0,3000.0,2,1
CustomerId_1736,34,2.0,500.0,2,1
CustomerId_1739,37,11.0,8500.0,2,1
CustomerId_1741,39,3.0,13000.0,2,1
CustomerId_1742,23,3.0,7000.0,2,1
CustomerId_1744,33,1.0,5000.0,2,1
CustomerId_1748,19,3.0,64000.0,2,1
CustomerId_1749,33,4.0,2000.0,2,1
CustomerId_1750,59,10.0,11500.0,2,1
CustomerId_1752,23,4.0,2000.0,2,1
CustomerId_1753,67,1.0,250000.0,2,1
CustomerId_1754,48,1.0,500.0,2,1
CustomerId_1755,42,1.0,5000.0,2,1
CustomerId_1756,60,1.0,5000.0,2,1
CustomerId_1757,69,4.0,1000.0,2,1
CustomerId_1758,16,88.0,140555.0,0,0
CustomerId_1759,32,10.0,32000.0,2,1
CustomerId_1763,19,13.0,56000.0,2,1
CustomerId_1764,74,2.0,11000.0,2,1
CustomerId_1767,23,12.0,173000.0,2,1
CustomerId_1768,21,54.0,141400.0,0,0
CustomerId_1769,40,1.0,10000.0,2,1
CustomerId_1774,19,30.0,175000.0,2,1
CustomerId_1776,44,2.0,500.0,2,1
CustomerId_1786,19,19.0,116000.0,2,1
CustomerId_1790,17,7.0,40000.0,2,1
CustomerId_1791,33,6.0,36000.0,2,1
CustomerId_1792,75,1.0,1000000.0,2,1
CustomerId_1794,73,9.0,15000.0,2,1
CustomerId_1795,19,5.0,20000.0,2,1
CustomerId_1797,43,3.0,8000.0,2,1
CustomerId_1798,36,1.0,50000.0,2,1
CustomerId_1801,16,13.0,10000.0,2,1
CustomerId_1805,42,29.0,365835.0,2,1
CustomerId_1806,71,20.0,67000.0,2,1
CustomerId_1807,54,6.0,40000.0,2,1
CustomerId_1809,63,19.0,62121.0,2,1
CustomerId_1810,18,17.0,91000.0,2,1
CustomerId_1811,85,3.0,2000.0,2,1
CustomerId_1812,16,32.0,811388.0,0,0
CustomerId_1813,68,5.0,21000.0,2,1
CustomerId_1815,19,70.0,65695.0,0,0
CustomerId_1817,54,6.0,30000.0,2,1
CustomerId_1820,28,10.0,16000.0,2,1
CustomerId_1825,47,13.0,95700.0,2,1
CustomerId_1827,54,6.0,30000.0,2,1
CustomerId_1828,54,5.0,20000.0,2,1
CustomerId_1830,65,9.0,4000.0,2,1
CustomerId_1831,32,14.0,305000.0,2,1
CustomerId_1833,61,10.0,800000.0,2,1
CustomerId_1835,47,6.0,30000.0,2,1
CustomerId_1836,21,1.0,5000.0,2,1
CustomerId_1838,29,1.0,1000.0,2,1
CustomerId_1839,68,17.0,27700.0,2,1
CustomerId_1841,19,14.0,86000.0,2,1
CustomerId_1843,62,13.0,5010.0,2,1
CustomerId_1844,40,10.0,52200.0,2,1
CustomerId_1845,28,7.0,5000.0,2,1
CustomerId_1846,16,16.0,74645.0,2,1
CustomerId_1848,20,14.0,78200.0,2,1
CustomerId_1849,22,22.0,51000.0,2,1
CustomerId_1850,23,1.0,1509988.0,2,1
CustomerId_1852,22,1.0,2000.0,2,1
CustomerId_1853,54,1.0,1000.0,2,1
CustomerId_1856,19,2.0,60600.0,2,1
CustomerId_1858,33,56.0,2002604.0000000005,0,0
CustomerId_1859,60,4.0,1000.0,2,1
CustomerId_1860,16,19.0,133200.0,2,1
CustomerId_1861,54,5.0,25000.0,2,1
CustomerId_1862,84,5.0,2500.0,2,1
CustomerId_1864,19,19.0,86600.0,2,1
CustomerId_1867,19,25.0,136000.0,2,1
CustomerId_1870,89,4.0,15000.0,2,1
CustomerId_1871,32,17.0,56500.0,2,1
CustomerId_1872,43,3.0,15000.0,2,1
CustomerId_1873,89,1.0,1000.0,2,1
CustomerId_1874,17,17.0,83100.0,2,1
CustomerId_1875,19,85.0,653100.0,0,0
CustomerId_1876,51,3.0,11000.0,2,1
CustomerId_1877,19,17.0,190500.0,2,1
CustomerId_1879,86,1.0,1000.0,2,1
CustomerId_1881,19,28.0,210000.0,2,1
CustomerId_1882,18,4.0,6500.0,2,1
CustomerId_1884,72,1.0,10000.0,2,1
CustomerId_1885,29,1.0,150000.0,2,1
CustomerId_1886,49,3.0,10000.0,2,1
CustomerId_1887,56,1.0,1000.0,2,1
CustomerId_1888,63,1.0,10000.0,2,1
CustomerId_1889,19,55.0,330564.0,0,0
CustomerId_1891,44,11.0,2002604.0000000005,2,1
CustomerId_1895,83,13.0,11200.0,2,1
CustomerId_1898,19,55.0,241200.0,0,0
CustomerId_1899,19,5.0,26000.0,2,1
CustomerId_1900,39,1.0,30000.0,2,1
CustomerId_1901,19,13.0,76000.0,2,1
CustomerId_1903,20,1.0,10000.0,2,1
CustomerId_1906,31,43.0,198800.0,0,0
CustomerId_1907,78,2.0,11000.0,2,1
CustomerId_1908,26,152.0,130262.0,1,0
CustomerId_1911,20,41.0,2002604.0000000005,0,0
